,Unnamed: 0,url,WeekID,Week Position,Song,Performer,SongID,Instance,Previous Week Position,Peak Position,Weeks on Chart,year,month,day
9996,9996,http://www.billboard.com/charts/hot-100/2012-03-10,2012-03-10,56,Fly / I Believe I Can Fly,Glee Cast (3-2012),Fly / I Believe I Can FlyGlee Cast,1,,56,1,2012,3,10
10003,10003,https://www.billboard.com/charts/hot-100/2018-03-24,2018-03-24,56,Indica Badu,Logic Featuring Wiz Khalifa (3-2018),Indica BaduLogic Featuring Wiz Khalifa,1,,56,1,2018,3,24
10004,10004,https://www.billboard.com/charts/hot-100/2018-07-14,2018-07-14,56,Final Fantasy,Drake (7-2018),Final FantasyDrake,1,,56,1,2018,7,14
10007,10007,https://www.billboard.com/charts/hot-100/2019-02-16,2019-02-16,56,One Call,Gunna (2-2019),One CallGunna,1,,56,1,2019,2,16
142880,142880,http://www.billboard.com/charts/hot-100/2000-12-09,2000-12-09,72,Last Resort,Papa Roach (12-2000),Last ResortPapa Roach,1,57.0,57,20,2000,12,9
143089,143089,http://www.billboard.com/charts/hot-100/1998-03-14,1998-03-14,83,I'm Not A Player,Big Punisher (3-1998),I'm Not A PlayerBig Punisher,1,77.0,57,20,1998,3,14
143329,143329,http://www.billboard.com/charts/hot-100/1997-06-07,1997-06-07,95,"It's Alright, It's Ok",Leah Andreone (6-1997),"It's Alright, It's OkLeah Andreone",1,89.0,57,20,1997,6,7
194401,194401,http://www.billboard.com/charts/hot-100/2014-12-06,2014-12-06,67,Sunshine & Whiskey,Frankie Ballard (12-2014),Sunshine & WhiskeyFrankie Ballard,1,60.0,57,20,2014,12,6
194466,194466,http://www.billboard.com/charts/hot-100/1995-05-20,1995-05-20,71,(She's Got) Skillz,All-4-One (5-1995),(She's Got) SkillzAll-4-One,1,70.0,57,20,1995,5,20
194826,194826,http://www.billboard.com/charts/hot-100/2001-01-06,2001-01-06,89,Open My Heart,Yolanda Adams (1-2001),Open My HeartYolanda Adams,1,79.0,57,20,2001,1,6
195024,195024,http://www.billboard.com/charts/hot-100/1993-05-01,1993-05-01,98,Reminisce,Mary J. Blige (5-1993),ReminisceMary J. Blige,1,87.0,57,20,1993,5,1
195077,195077,http://www.billboard.com/charts/hot-100/2005-01-29,2005-01-29,100,Dangerously In Love,Beyonce (1-2005),Dangerously In LoveBeyonce,1,90.0,57,20,2005,1,29
228753,228753,http://www.billboard.com/charts/hot-100/2010-05-01,2010-05-01,99,That's How Country Boys Roll,Billy Currington (5-2010),That's How Country Boys RollBilly Currington,2,95.0,57,20,2010,5,1
253428,253428,http://www.billboard.com/charts/hot-100/2008-03-01,2008-03-01,90,What Do Ya Think About That,Montgomery Gentry (3-2008),What Do Ya Think About ThatMontgomery Gentry,1,79.0,57,20,2008,3,1
273747,273747,http://www.billboard.com/charts/hot-100/2012-12-01,2012-12-01,86,Lovin' You Is Fun,Easton Corbin (12-2012),Lovin' You Is FunEaston Corbin,2,70.0,57,20,2012,12,1
141238,141238,http://www.billboard.com/charts/hot-100/2004-02-07,2004-02-07,85,Honesty (Write Me A List),Rodney Atkins (2-2004),Honesty (Write Me A List)Rodney Atkins,1,66.0,57,19,2004,2,7
141278,141278,http://www.billboard.com/charts/hot-100/1995-10-21,1995-10-21,87,I Love You/You Bring Me Joy,Mary J. Blige (10-1995),I Love You/You Bring Me JoyMary J. Blige,1,86.0,57,19,1995,10,21
141496,141496,http://www.billboard.com/charts/hot-100/1993-04-17,1993-04-17,97,Homies,Lighter Shade Of Brown (4-1993),HomiesLighter Shade Of Brown,1,95.0,57,19,1993,4,17
141525,141525,http://www.billboard.com/charts/hot-100/2014-05-17,2014-05-17,98,For The First Time In Forever,Kristen Bell & Idina Menzel (5-2014),For The First Time In ForeverKristen Bell & Idina Menzel,1,82.0,57,19,2014,5,17
193205,193205,http://www.billboard.com/charts/hot-100/1992-07-04,1992-07-04,100,The Choice Is Yours,Black Sheep (7-1992),The Choice Is YoursBlack Sheep,1,86.0,57,19,1992,7,4
107726,107726,https://www.billboard.com/charts/hot-100/2018-01-13,2018-01-13,69,Light It Up,Luke Bryan (1-2018),Light It UpLuke Bryan,1,73.0,57,18,2018,1,13
139390,139390,http://www.billboard.com/charts/hot-100/2004-08-21,2004-08-21,96,Jook Gal (Wine Wine),Elephant Man (8-2004),Jook Gal (Wine Wine)Elephant Man,1,99.0,57,18,2004,8,21
191003,191003,http://www.billboard.com/charts/hot-100/2001-03-31,2001-03-31,97,Babylon,David Gray (3-2001),BabylonDavid Gray,1,94.0,57,18,2001,3,31
191004,191004,http://www.billboard.com/charts/hot-100/1985-05-11,1985-05-11,97,Rain Forest,Paul Hardcastle (5-1985),Rain ForestPaul Hardcastle,1,96.0,57,18,1985,5,11
137330,137330,http://www.billboard.com/charts/hot-100/1993-04-24,1993-04-24,94,Murder She Wrote,Chaka Demus & Pliers (4-1993),Murder She WroteChaka Demus & Pliers,1,91.0,57,17,1993,4,24
